SID20131143; Sem_1; 488
SID20131143; Sem_2; 524
SID20131143; Sem_3; 488
SID20131143; Sem_4; 545
SID20131143; Sem_5; 470
SID20131143; Sem_6; 446
SID20131143; Sem_7; 511
SID20131143; Sem_8; 469
SID20131151; Sem_1; 552
SID20131151; Sem_2; 491
SID20131151; Sem_3; 499
SID20131151; Sem_4; 487
SID20131151; Sem_5; 481
SID20131151; Sem_6; 490
SID20131151; Sem_7; 491
SID20131151; Sem_8; 500
SID20131171; Sem_1; 470
SID20131171; Sem_2; 506
SID20131171; Sem_3; 535
SID20131171; Sem_4; 534
SID20131171; Sem_5; 454
SID20131171; Sem_6; 362
SID20131171; Sem_7; 522
SID20131171; Sem_8; 444
SID20131176; Sem_1; 501
SID20131176; Sem_2; 487
SID20131176; Sem_3; 515
SID20131176; Sem_4; 482
SID20131176; Sem_5; 519
SID20131176; Sem_6; 506
SID20131176; Sem_7; 446
SID20131176; Sem_8; 515
SID20131177; Sem_1; 499
SID20131177; Sem_2; 422
SID20131177; Sem_3; 448
SID20131177; Sem_4; 490
SID20131177; Sem_5; 396
SID20131177; Sem_6; 500
SID20131177; Sem_7; 569
SID20131177; Sem_8; 260
SID20131184; Sem_1; 460
SID20131184; Sem_2; 437
SID20131184; Sem_3; 503
SID20131184; Sem_4; 488
SID20131184; Sem_5; 424
SID20131184; Sem_6; 419
SID20131184; Sem_7; 480
SID20131184; Sem_8; 433
SID20131189; Sem_1; 525
SID20131189; Sem_2; 381
SID20131189; Sem_3; 428
SID20131189; Sem_4; 455
SID20131189; Sem_5; 467
SID20131189; Sem_6; 414
SID20131189; Sem_7; 454
SID20131189; Sem_8; 478
SID20131191; Sem_1; 488
SID20131191; Sem_2; 476
SID20131191; Sem_3; 535
SID20131191; Sem_4; 545
SID20131191; Sem_5; 398
SID20131191; Sem_6; 487
SID20131191; Sem_7; 505
SID20131191; Sem_8; 475
SID20131208; Sem_1; 458
SID20131208; Sem_2; 477
SID20131208; Sem_3; 437
SID20131208; Sem_4; 407
SID20131208; Sem_5; 491
SID20131208; Sem_6; 541
SID20131208; Sem_7; 469
SID20131208; Sem_8; 439
SID20131220; Sem_1; 436
SID20131220; Sem_2; 542
SID20131220; Sem_3; 430
SID20131220; Sem_4; 503
SID20131220; Sem_5; 548
SID20131220; Sem_6; 507
SID20131220; Sem_7; 470
SID20131220; Sem_8; 435
SID20131231; Sem_1; 550
SID20131231; Sem_2; 481
SID20131231; Sem_3; 534
SID20131231; Sem_4; 475
SID20131231; Sem_5; 483
SID20131231; Sem_6; 542
SID20131231; Sem_7; 453
SID20131231; Sem_8; 554
SID20131244; Sem_1; 516
SID20131244; Sem_2; 525
SID20131244; Sem_3; 466
SID20131244; Sem_4; 553
SID20131244; Sem_5; 454
SID20131244; Sem_6; 451
SID20131244; Sem_7; 466
SID20131244; Sem_8; 488
SID20131246; Sem_1; 475
SID20131246; Sem_2; 497
SID20131246; Sem_3; 494
SID20131246; Sem_4; 443
SID20131246; Sem_5; 469
SID20131246; Sem_6; 469
SID20131246; Sem_7; 443
SID20131246; Sem_8; 389
SID20131265; Sem_1; 478
SID20131265; Sem_2; 486
SID20131265; Sem_3; 575
SID20131265; Sem_4; 472
SID20131265; Sem_5; 542
SID20131265; Sem_6; 502
SID20131265; Sem_7; 422
SID20131265; Sem_8; 501
SID20131278; Sem_1; 523
SID20131278; Sem_2; 573
SID20131278; Sem_3; 501
SID20131278; Sem_4; 426
SID20131278; Sem_5; 387
SID20131278; Sem_6; 477
SID20131278; Sem_7; 464
SID20131278; Sem_8; 524
SID20131303; Sem_1; 391
SID20131303; Sem_2; 469
SID20131303; Sem_3; 427
SID20131303; Sem_4; 474
SID20131303; Sem_5; 569
SID20131303; Sem_6; 455
SID20131303; Sem_7; 377
SID20131303; Sem_8; 411
SID20131314; Sem_1; 501
SID20131314; Sem_2; 537
SID20131314; Sem_3; 468
SID20131314; Sem_4; 454
SID20131314; Sem_5; 551
SID20131314; Sem_6; 534
SID20131314; Sem_7; 441
SID20131314; Sem_8; 369
SID20131331; Sem_1; 530
SID20131331; Sem_2; 523
SID20131331; Sem_3; 481
SID20131331; Sem_4; 430
SID20131331; Sem_5; 448
SID20131331; Sem_6; 513
SID20131331; Sem_7; 478
SID20131331; Sem_8; 583
SID20131364; Sem_1; 434
SID20131364; Sem_2; 449
SID20131364; Sem_3; 541
SID20131364; Sem_4; 434
SID20131364; Sem_5; 495
SID20131364; Sem_6; 436
SID20131364; Sem_7; 439
SID20131364; Sem_8; 463
SID20131384; Sem_1; 435
SID20131384; Sem_2; 480
SID20131384; Sem_3; 495
SID20131384; Sem_4; 523
SID20131384; Sem_5; 462
SID20131384; Sem_6; 497
SID20131384; Sem_7; 514
SID20131384; Sem_8; 407
SID20131407; Sem_1; 425
SID20131407; Sem_2; 509
SID20131407; Sem_3; 508
SID20131407; Sem_4; 485
SID20131407; Sem_5; 468
SID20131407; Sem_6; 518
SID20131407; Sem_7; 563
SID20131407; Sem_8; 506
SID20131420; Sem_1; 415
SID20131420; Sem_2; 492
SID20131420; Sem_3; 595
SID20131420; Sem_4; 515
SID20131420; Sem_5; 579
SID20131420; Sem_6; 436
SID20131420; Sem_7; 450
SID20131420; Sem_8; 451
SID20131433; Sem_1; 579
SID20131433; Sem_2; 459
SID20131433; Sem_3; 426
SID20131433; Sem_4; 574
SID20131433; Sem_5; 387
SID20131433; Sem_6; 408
SID20131433; Sem_7; 500
SID20131433; Sem_8; 413
SID20131438; Sem_1; 479
SID20131438; Sem_2; 574
SID20131438; Sem_3; 367
SID20131438; Sem_4; 513
SID20131438; Sem_5; 513
SID20131438; Sem_6; 558
SID20131438; Sem_7; 384
SID20131438; Sem_8; 472
SID20131443; Sem_1; 376
SID20131443; Sem_2; 394
SID20131443; Sem_3; 409
SID20131443; Sem_4; 575
SID20131443; Sem_5; 500
SID20131443; Sem_6; 525
SID20131443; Sem_7; 452
SID20131443; Sem_8; 393
SID20131446; Sem_1; 491
SID20131446; Sem_2; 451
SID20131446; Sem_3; 458
SID20131446; Sem_4; 471
SID20131446; Sem_5; 368
SID20131446; Sem_6; 570
SID20131446; Sem_7; 511
SID20131446; Sem_8; 466
SID20131477; Sem_1; 551
SID20131477; Sem_2; 430
SID20131477; Sem_3; 471
SID20131477; Sem_4; 497
SID20131477; Sem_5; 460
SID20131477; Sem_6; 481
SID20131477; Sem_7; 466
SID20131477; Sem_8; 529
SID20131501; Sem_1; 459
SID20131501; Sem_2; 523
